strategic_region = {
	id = 19
	name = "STRATEGICREGION_19"
	provinces = {
		528
		2373
		2888
		4308
		5488
		5767
		5963
		15032
		15065
		19786
		2859
		9336
		9583
		15095
		15103
		15120
		15124
		15140
		15148
		19785
		411
		2045
		2726
		3722
		4212
		8410
		8654
		15096
		15149
		15171
		15222
		15246
		15255
		20509
		605
		4874
		5685
		6630
		6733
		6988
		7659
		15179
		15226
		19749
		19750
		20512
		20513
		20514
		2712
		3555
		3556
		6442
		6459
		9211
		9261
		9645
		14752
		14758
		14763
		14792
		14799
		14807
		14811
		14829
		14835
		14854
		20520
		190
		4241
		8308
		9469
		14814
		14830
		14905
		19792
		1129
		14889
		14915
		14925
		14943
		14957
		19753
		19788
		3068
		3111
		6051
		8228
		14885
		14947
		19789
		19790
		19791
		2420
		3466
		3474
		7867
		8682
		9004
		15054
		15146
		19747
		20516
		4769
		9050
		15077
		15100
		15108
		15117
		20515
		1264
		4318
		5165
		5315
		6035
		7461
		7708
		9301
		14753
		14759
		14862
		19754
		19810
		3440
		3682
		3779
		4538
		7393
		14864
		14880
		2372
		3449
		9438
		14920
		14944
		14964
		19802
		3160
		4142
		8546
		14959
		14991
		19748
		19787
		996
		5116
		5491
		6017
		7128
		7875
		8889
		9184
		14694
		14732
		14783
		3396
		4205
		5050
		5149
		7584
		9632
		14665
		14740
		14751
		14822
		20519
		3718
		4439
		5202
		6516
		14795
		14826
		14861
		19730
		3760
		6588
		9247
		14846
		14853
		14883
		14884
		20518
		3443
		3956
		4119
		5772
		6986
		14728
		14768
		14777
		14788
		14815
		14816
		14847
		20524
		20539
		233
		3514
		3667
		4862
		6400
		9359
		14673
		14679
		14720
		14726
		19797
		20521
		993
		3642
		5832
		14741
		19763
		750
		4675
		19755
		7681
		9401
		14738
		19757
		5618
		8647
		14776
		19756
	}
	weather={
		period={
			between={ 0.0 30.0 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.1 27.1 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.2 30.2 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.3 29.3 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.4 30.4 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.5 29.5 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.6 30.6 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.7 30.7 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.8 29.8 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.9 30.9 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.10 29.10 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.11 30.11 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
	}

}
