strategic_region = {
	id = 32
	name = "STRATEGICREGION_32"
	provinces = {
		19713
		7373
		19282
		3977
		224
		9828
		19667
		5204
		18693
		1499
		19700
		18584
		9869
		7857
		665
		2510
		19715
		851
		958
		5398
		6284
		8343
		9893
		9908
		9910
		9923
		795
		1133
		1285
		1987
		2004
		2442
		5042
		5172
		6802
		7053
		7940
		9832
		9848
		9859
		9865
		9880
		9896
		18611
		18633
		19005
		19017
		19285
		19690
		19705
		4533
		6323
		7276
		7309
		7791
		8213
		9462
		9902
		19025
		19042
		19286
		19668
		19701
		19702
		461
		1426
		5427
		6206
		6871
		8393
		9909
		9940
		9955
		19654
		19655
		19656
		19662
		19663
		470
		2832
		4877
		5024
		6133
		6740
		9594
		9852
		9888
		19046
		19661
		631
		2631
		4594
		5526
		6054
		6606
		8703
		8876
		9482
		9941
		9960
		9966
		18707
		19693
		1924
		3062
		3367
		3502
		3715
		9917
		9947
		9951
		18648
		19287
		19678
		19694
		599
		2805
		3782
		3809
		5852
		8202
		9890
		9900
		18559
		18581
		18772
		19691
		19692
		19704
		19712
		209
		304
		971
		2867
		3262
		4733
		5652
		5850
		7382
		7929
		9836
		9849
		9850
		9860
		9861
		9863
		18521
		18522
		18523
		18524
		18659
		18780
		18997
		19006
		19021
		19682
		19689
		19703
		9827
		6023
		18987
		18995
		19679
		19687
		799
		1514
		1791
		2262
		2809
		3090
		5000
		5810
		5907
		6662
		6904
		9789
		9791
		9813
		9822
		18562
		18606
		18721
		18950
		18953
		18989
		19680
		19681
		19683
		19684
		19685
		19686
		19696
		19697
		345
		894
		1659
		2218
		3315
		3618
		3821
		5136
		5841
		7376
		8053
		9667
		9781
		9812
		9844
		18645
		18757
		18972
		18975
		18982
		19001
		19008
		19669
		19698
		19699
		9186
		2795
		290
		5147
		5316
		6572
		9361
		9782
		18708
		19695
		1939
		2911
		3199
		3842
		3951
		6172
		9793
		19652
		19665
		526
		988
		1476
		3879
		3889
		4168
		5023
		7941
		8429
		8804
		9275
		9805
		18954
		339
		957
		1002
		3473
		6805
		9784
		9799
		9811
		9816
		18534
		18723
		18734
		18980
		18986
		19275
		19279
		19688
		376
		767
		1065
		1118
		1194
		1447
		2302
		4115
		4262
		4643
		4788
		5084
		5481
		5994
		7418
		7496
		8142
		9067
		9732
		9733
		9741
		9751
		9752
		9761
		9772
		16385
		16567
		17712
		18273
		18535
		18872
		18888
		18889
		19653
		19666
		391
		710
		809
		1056
		1337
		1515
		2230
		2618
		3009
		3411
		4364
		4415
		5045
		5864
		9511
		9748
		9757
		9762
		9763
		18623
		18651
		18907
		18927
		18930
		19271
		32
		59
		107
		374
		742
		749
		1191
		1523
		1695
		1807
		1955
		2084
		2413
		2632
		3204
		3528
		3657
		4079
		4453
		9701
		9711
		9716
		9717
		9723
		9725
		9727
		9729
		18680
		18859
		18880
		19260
		390
		472
		780
		900
		961
		1625
		1862
		2455
		2500
		2548
		2629
		2810
		4813
		6222
		7526
		9700
		18539
		18821
		42
		1715
		9684
		19676
		19677
		1004
		2127
		2375
		4954
		9691
		17121
		18109
		19561
		19671
		19672
		19670
	}
	weather={
		period={
			between={ 0.0 30.0 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.1 27.1 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.2 30.2 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.3 29.3 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.4 30.4 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.5 29.5 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.6 30.6 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.7 30.7 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.8 29.8 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.9 30.9 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.10 29.10 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.11 30.11 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
	}

}
