strategic_region = {
	id = 40
	name = "STRATEGICREGION_40"
	provinces = {
		608
		3843
		4011
		5671
		7446
		14677
		14698
		14725
		14756
		14787
		16216
		16450
		18237
		18250
		18615
		7573
		8829
		17759
		18948
		19035
		8494
		18791
		18863
		19092
		6438
		14908
		14982
		1319
		7879
		17709
		11
		18582
		1450
		14714
		8284
		14845
		14874
		19080
		3361
		6307
		7693
		7734
		8315
		14715
		14767
		14803
		16892
		94
		9009
		14499
		14546
		16477
		17380
		563
		3249
		8277
		9252
		16414
		17691
		5334
		5557
		9489
		14824
		14831
		14843
		14844
		14863
		14867
		15998
		17076
		17889
		8417
		8615
		16165
		16614
		14688
		14744
		14775
		3391
		7415
		8485
		9065
		4398
		15977
		14558
		839
		18127
		3448
		5705
		8244
		17519
		18125
		2667
		3437
		4770
		7084
		14573
		1396
		3582
		3878
		14600
		14652
		14653
		2358
		6275
		7869
		8955
		14620
		14655
		14700
		6685
		7698
		8187
		8708
		14707
		14739
		14779
		18340
		14661
		6612
		67
		1895
		2271
		5568
		6499
		14591
		14614
		14638
		16536
		3371
		6924
		4410
		14593
		14602
		14621
		16733
		1599
		3380
		14480
		14496
		16559
		17116
		3675
		14519
		14545
		16076
		1619
		14062
		14109
		16585
		1101
		1273
		2313
		2459
		5496
		7729
		14412
		14472
		16269
		16429
		5069
		5218
		6348
		9398
		14364
		14471
		18726
		19072
		2106
		2394
		5577
		5826
		14155
		14172
		14182
		14214
		14240
		14542
		14557
		17915
		19061
		2952
		5025
		5200
		8445
		8796
		14544
		14565
		14590
		9271
		7247
		16126
		16723
		16725
		14464
		14404
		3020
		14713
		2550
		7640
		9500
		2804
		14660
		3339
		19067
		18614
		14613
		16129
		7896
		8311
		9524
		16813
		16978
		17106
		1776
		2890
		14575
		14518
		7400
		7491
		14463
		14498
		15953
		16207
		18157
		7743
		9367
		5980
		17526
		14429
		19331
		8248
		9411
		14351
		14363
		14370
		14405
		14421
		16655
		3286
		9048
		14457
		14479
		14484
		14515
		207
		3875
		4861
		5658
		8555
		14210
		14239
		14282
		14297
		14320
		7254
		9668
		13879
		5318
		9552
		14290
		14331
		14332
		17164
		4767
		5395
		14219
		14238
		14249
		19065
		19328
		5527
		5540
		6773
		7763
		8098
		8442
		8845
		9278
		13991
		14037
		14048
		14066
		14206
		186
		468
		1522
		5417
		7412
		7585
		8843
		14069
		14114
		16067
		8003
		8506
		14446
		16897
		17588
		2573
		4075
		5609
		14376
		14411
		16666
		8797
		918
		13982
		14024
		1849
		14086
		14264
		14313
		14333
		14385
		860
		1738
		4394
		14512
		14526
		16845
		17607
		175
		217
		1023
		2537
		7091
		7658
		8573
		8740
		9468
		14171
		14311
		14348
		14355
		14399
		16026
		17729
		3328
		4694
		9083
		14304
		14341
		14347
		14386
		516
		5960
		5971
		6141
		6650
		7730
		8105
		8624
		9093
		9151
		13291
		13860
		13908
		13931
		13970
		14077
		17939
		18246
		18360
	}
	weather={
		period={
			between={ 0.0 30.0 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.1 27.1 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.2 30.2 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.3 29.3 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.4 30.4 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.5 29.5 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.6 30.6 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.7 30.7 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.8 29.8 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.9 30.9 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.10 29.10 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
		period={
			between={ 0.11 30.11 }
			temperature={ 20.0 20.0 }
			no_phenomenon=1.000
			rain_light=0.000
			rain_heavy=0.000
			snow=0.000
			blizzard=0.000
			arctic_water=0.000
			mud=0.000
			sandstorm=0.000
			min_snow_level=0.000
		}
	}

}
