strategic_region = {
	id = 55
	name = "STRATEGICREGION_55"
	provinces = {
		8995
		21181
		21189
		21207
		1995
		2723
		5075
		7172
		21159
		21166
		21168
		21186
		21190
		6431
		21187
		21194
		21198
		328
		21177
		21202
		2779
		3845
		6488
		9119
		21185
		21204
		21205
		21145
		21147
		21149
		21150
		21151
		562
		1441
		4934
		15802
		21146
		21153
		21154
		21155
		7336
		15813
		21152
		15800
		15803
		15805
		21158
		2584
		3908
		15794
		3159
		7613
		8348
		15783
		15790
		21164
		21200
		21201
		6598
		21203
		459
		19209
		21160
		21161
		21162
		21165
		21169
		21173
		21182
		21183
		21192
	}
	weather = {
	}
}
