strategic_region = {
	id = 69
	name = "STRATEGICREGION_69"
	provinces = {
		16004
		16260
		16354
		16774
		16949
		16985
		17000
		17022
		17230
		17521
		17648
		17658
		17877
		17903
		18461
		18470
		20535
		20536
		16174
		16204
		16206
		16252
		16288
		16321
		16357
		16464
		16524
		16754
		16778
		16790
		17201
		17315
		17349
		17437
		17771
		17899
		17940
		18161
		18481
		18489
		18495
		15971
		16148
		16259
		16316
		16331
		16390
		16404
		16427
		16512
		16527
		16580
		16601
		16623
		16714
		16776
		17033
		17060
		17199
		17203
		17226
		17250
		17260
		17281
		17342
		17345
		17518
		17556
		17594
		17595
		17629
		17657
		17704
		17722
		17812
		17884
		17960
		18123
		18126
		18437
		18443
		18448
		18457
		18464
		18473
		15972
		16068
		16093
		16309
		16387
		16423
		16494
		16496
		16618
		16793
		16908
		16936
		16982
		16983
		17078
		17131
		17134
		17263
		17329
		17426
		17591
		17625
		17678
		17733
		17833
		17842
		17959
		17991
		18054
		18146
		18494
	}
	weather = {
	}
}
