strategic_region = {
	id = 83
	name = "STRATEGICREGION_83"
	provinces = {
		15937
		15994
		16052
		16089
		16094
		16179
		16303
		16314
		16356
		16541
		16634
		16713
		16737
		16840
		16849
		16865
		16893
		16918
		17012
		17028
		17034
		17037
		17043
		17065
		17079
		17092
		17103
		17110
		17149
		17273
		17280
		17283
		17340
		17379
		17429
		17493
		17554
		17599
		17821
		17835
		17879
		17881
		17948
		17958
		17999
		18017
		18043
		18062
		18079
		18081
		18180
		18384
		18387
		18415
		18425
		18439
		18454
		18460
		18467
		18476
		18477
		15943
		15992
		16003
		16057
		16317
		16411
		16511
		16539
		16612
		16921
		17036
		17186
		17195
		17234
		17389
		17465
		17549
		17653
		17754
		17841
		17901
		17993
		18100
		18428
	}

}
