strategic_region = {
	id = 90
	name = "STRATEGICREGION_90"
	provinces = {
		16399
		16489
		16519
		16684
		16786
		17055
		17152
		17171
		17587
		17679
		17725
		17981
		18087
		19626
		19627
		16041
		16060
		16142
		16218
		16479
		16554
		16587
		16860
		16905
		17350
		17431
		17564
		17574
		17606
		17643
		17644
		17726
		17772
		17909
		17947
		18034
		18308
		18311
		18325
		19634
		19635
		19636
		19637
		19638
		19639
		19640
		19641
		19651
		16169
		16376
		16504
		16520
		16523
		16654
		16781
		16984
		17123
		17127
		17374
		17383
		17486
		17605
		17612
		17665
		17684
		17719
		17866
		17953
		18137
		18179
		18312
		18319
		18334
		19982
		19983
		19984
		19985
		19986
		19987
		19988
		19989
		19990
		19991
		19992
		19993
	}
	weather = {
	}
}
